pclass,survived,sex,age,fare
1,1,female,29.0,211.3375
1,1,male,0.92,151.55
1,0,female,2.0,151.55
1,0,male,30.0,151.55
1,0,female,25.0,151.55
1,1,male,48.0,26.55
1,1,female,63.0,77.9583
1,0,male,39.0,0.0
1,1,female,53.0,51.4792
1,0,male,71.0,49.5042
1,0,male,47.0,227.525
1,1,female,18.0,227.525
1,1,female,24.0,69.3
1,1,female,26.0,78.85
1,1,male,80.0,30.0
1,0,male,NA,25.925
1,0,male,24.0,247.5208
1,1,female,50.0,247.5208
1,1,female,32.0,76.2917
1,0,male,36.0,75.2417
1,1,male,37.0,52.5542
1,1,female,47.0,52.5542
1,1,male,26.0,30.0
1,1,female,42.0,227.525
1,1,female,29.0,221.7792
1,0,male,25.0,26.0
1,1,male,25.0,91.0792
1,1,female,19.0,91.0792
1,1,female,35.0,135.6333
1,1,male,28.0,26.55
1,0,male,45.0,35.5
1,1,male,40.0,31.0
1,1,female,30.0,164.8667
1,1,female,58.0,26.55
1,0,male,42.0,26.55
1,1,female,45.0,262.375
1,1,female,22.0,55.0
1,1,male,NA,26.55
1,0,male,41.0,30.5
1,0,male,48.0,50.4958
1,0,male,NA,39.6
1,1,female,44.0,27.7208
1,1,female,59.0,51.4792
1,1,female,60.0,76.2917
1,1,female,41.0,134.5
1,0,male,45.0,26.55
1,0,male,NA,31.0
1,1,male,42.0,26.2875
1,1,female,53.0,27.4458
1,1,male,36.0,512.3292
1,1,female,58.0,512.3292
1,0,male,33.0,5.0
1,0,male,28.0,47.1
1,0,male,17.0,47.1
1,1,male,11.0,120.0
1,1,female,14.0,120.0
1,1,male,36.0,120.0
1,1,female,36.0,120.0
1,0,male,49.0,26.0
1,1,female,NA,27.7208
1,0,male,36.0,78.85
1,1,female,76.0,78.85
1,0,male,46.0,61.175
1,1,female,47.0,61.175
1,1,male,27.0,53.1
1,1,female,33.0,53.1
1,1,female,36.0,262.375
1,1,female,30.0,86.5
1,1,male,45.0,29.7
1,1,female,NA,55.0
1,0,male,NA,0.0
1,0,male,27.0,136.7792
1,1,female,26.0,136.7792
1,1,female,22.0,151.55
1,0,male,NA,52.0
1,0,male,47.0,25.5875
1,1,female,39.0,83.1583
1,0,male,37.0,83.1583
1,1,female,64.0,83.1583
1,1,female,55.0,25.7
1,0,male,NA,26.55
1,0,male,70.0,71.0
1,1,female,36.0,71.0
1,1,female,64.0,26.55
1,0,male,39.0,71.2833
1,1,female,38.0,71.2833
1,1,male,51.0,26.55
1,1,male,27.0,30.5
1,1,female,33.0,151.55
1,0,male,31.0,52.0
1,1,female,27.0,52.0
1,1,male,31.0,57.0
1,1,female,17.0,57.0
1,1,male,53.0,81.8583
1,1,male,4.0,81.8583
1,1,female,54.0,81.8583
1,0,male,50.0,106.425
1,1,female,27.0,247.5208
1,1,female,48.0,106.425
1,1,female,48.0,39.6
1,1,male,49.0,56.9292
1,0,male,39.0,29.7
1,1,female,23.0,83.1583
1,1,female,38.0,227.525
1,1,female,54.0,78.2667
1,0,female,36.0,31.6792
1,0,male,NA,221.7792
1,1,female,NA,31.6833
1,1,female,NA,110.8833
1,1,male,36.0,26.3875
1,0,male,30.0,27.75
1,1,female,24.0,263.0
1,1,female,28.0,263.0
1,1,female,23.0,263.0
1,0,male,19.0,263.0
1,0,male,64.0,263.0
1,1,female,60.0,263.0
1,1,female,30.0,56.9292
1,0,male,NA,26.55
1,1,male,50.0,133.65
1,1,male,43.0,27.7208
1,1,female,NA,133.65
1,1,female,22.0,49.5
1,1,male,60.0,79.2
1,1,female,48.0,79.2
1,0,male,NA,0.0
1,0,male,37.0,53.1
1,1,female,35.0,53.1
1,0,male,47.0,38.5
1,1,female,35.0,211.5
1,1,female,22.0,59.4
1,1,female,45.0,59.4
1,0,male,24.0,79.2
1,1,male,49.0,89.1042
1,1,female,NA,89.1042
1,0,male,71.0,34.6542
1,1,male,53.0,28.5
1,1,female,19.0,30.0
1,0,male,38.0,153.4625
1,1,female,58.0,153.4625
1,1,male,23.0,63.3583
1,1,female,45.0,63.3583
1,0,male,46.0,79.2
1,1,male,25.0,55.4417
1,1,female,25.0,55.4417
1,1,male,48.0,76.7292
1,1,female,49.0,76.7292
1,0,male,NA,42.4
1,0,male,45.0,83.475
1,1,female,35.0,83.475
1,0,male,40.0,0.0
1,1,male,27.0,76.7292
1,1,male,NA,30.0
1,1,female,24.0,83.1583
1,0,male,55.0,93.5
1,1,female,52.0,93.5
1,0,male,42.0,42.5
1,0,male,NA,51.8625
1,0,male,55.0,50.0
1,1,female,16.0,57.9792
1,1,female,44.0,57.9792
1,1,female,51.0,77.9583
1,0,male,42.0,52.0
1,1,female,35.0,52.0
1,1,male,35.0,26.55
1,1,male,38.0,90.0
1,0,male,NA,30.6958
1,1,female,35.0,90.0
1,1,female,38.0,80.0
1,0,female,50.0,28.7125
1,1,male,49.0,0.0
1,0,male,46.0,26.0
1,0,male,50.0,26.0
1,0,male,32.5,211.5
1,0,male,58.0,29.7
1,0,male,41.0,51.8625
1,1,female,NA,51.8625
1,1,male,42.0,52.5542
1,1,female,45.0,52.5542
1,0,male,NA,26.55
1,1,female,39.0,211.3375
1,1,female,49.0,25.9292
1,1,female,30.0,106.425
1,1,male,35.0,512.3292
1,0,male,NA,27.7208
1,0,male,42.0,26.55
1,1,female,55.0,27.7208
1,1,female,16.0,39.4
1,1,female,51.0,39.4
1,0,male,29.0,30.0
1,1,female,21.0,77.9583
1,0,male,30.0,45.5
1,1,female,58.0,146.5208
1,1,female,15.0,211.3375
1,0,male,30.0,26.0
1,1,female,16.0,86.5
1,1,male,NA,29.7
1,0,male,19.0,53.1
1,1,female,18.0,53.1
1,1,female,24.0,49.5042
1,0,male,46.0,75.2417
1,0,male,54.0,51.8625
1,1,male,36.0,26.2875
1,0,male,28.0,82.1708
1,1,female,NA,82.1708
1,0,male,65.0,26.55
1,0,male,44.0,90.0
1,1,female,33.0,90.0
1,1,female,37.0,90.0
1,1,male,30.0,57.75
1,0,male,55.0,30.5
1,0,male,47.0,42.4
1,0,male,37.0,29.7
1,1,female,31.0,113.275
1,1,female,23.0,113.275
1,0,male,58.0,113.275
1,1,female,19.0,26.2833
1,0,male,64.0,26.0
1,1,female,39.0,108.9
1,1,male,NA,25.7417
1,1,female,22.0,61.9792
1,0,male,65.0,61.9792
1,0,male,28.5,27.7208
1,0,male,NA,0.0
1,0,male,45.5,28.5
1,0,male,23.0,93.5
1,0,male,29.0,66.6
1,1,female,22.0,66.6
1,0,male,18.0,108.9
1,1,female,17.0,108.9
1,1,female,30.0,93.5
1,1,male,52.0,30.5
1,0,male,47.0,52.0
1,1,female,56.0,83.1583
1,0,male,38.0,0.0
1,1,male,NA,39.6
1,0,male,22.0,135.6333
1,0,male,NA,227.525
1,1,female,43.0,211.3375
1,0,male,31.0,50.4958
1,1,male,45.0,26.55
1,0,male,NA,50.0
1,1,female,33.0,27.7208
1,0,male,46.0,79.2
1,0,male,36.0,40.125
1,1,female,33.0,86.5
1,0,male,55.0,59.4
1,1,female,54.0,59.4
1,0,male,33.0,26.55
1,1,male,13.0,262.375
1,1,female,18.0,262.375
1,1,female,21.0,262.375
1,0,male,61.0,262.375
1,1,female,48.0,262.375
1,1,male,NA,30.5
1,1,female,24.0,69.3
1,1,male,NA,26.0
1,1,female,35.0,57.75
1,1,female,30.0,31.0
1,1,male,34.0,26.55
1,1,female,40.0,153.4625
1,1,male,35.0,26.2875
1,0,male,50.0,55.9
1,1,female,39.0,55.9
1,1,male,56.0,35.5
1,1,male,28.0,35.5
1,0,male,56.0,26.55
1,0,male,56.0,30.6958
1,0,male,24.0,60.0
1,0,male,NA,26.0
1,1,female,18.0,60.0
1,1,male,24.0,82.2667
1,1,female,23.0,82.2667
1,1,male,6.0,134.5
1,1,male,45.0,134.5
1,1,female,40.0,134.5
1,0,male,57.0,146.5208
1,1,female,NA,146.5208
1,1,male,32.0,30.5
1,0,male,62.0,26.55
1,1,male,54.0,55.4417
1,1,female,43.0,55.4417
1,1,female,52.0,78.2667
1,0,male,NA,27.7208
1,1,female,62.0,80.0
1,0,male,67.0,221.7792
1,0,female,63.0,221.7792
1,0,male,61.0,32.3208
1,1,female,48.0,25.9292
1,1,female,18.0,79.65
1,0,male,52.0,79.65
1,1,female,39.0,79.65
1,1,male,48.0,52.0
1,1,female,NA,52.0
1,0,male,49.0,110.8833
1,1,male,17.0,110.8833
1,1,female,39.0,110.8833
1,1,female,NA,79.2
1,1,male,31.0,28.5375
1,0,male,40.0,27.7208
1,0,male,61.0,33.5
1,0,male,47.0,34.0208
1,1,female,35.0,512.3292
1,0,male,64.0,75.25
1,1,female,60.0,75.25
1,0,male,60.0,26.55
1,0,male,54.0,77.2875
1,0,male,21.0,77.2875
1,1,female,55.0,135.6333
1,1,female,31.0,164.8667
1,0,male,57.0,164.8667
1,1,female,45.0,164.8667
1,0,male,50.0,211.5
1,0,male,27.0,211.5
1,1,female,50.0,211.5
1,1,female,21.0,26.55
1,0,male,51.0,61.3792
1,1,male,21.0,61.3792
1,0,male,NA,35.0
1,1,female,31.0,134.5
1,1,male,NA,35.5
1,0,male,62.0,26.55
1,1,female,36.0,135.6333
2,0,male,30.0,24.0
2,1,female,28.0,24.0
2,0,male,30.0,13.0
2,0,male,18.0,11.5
2,0,male,25.0,10.5
2,0,male,34.0,26.0
2,1,female,36.0,26.0
2,0,male,57.0,13.0
2,0,male,18.0,11.5
2,0,male,23.0,10.5
2,1,female,36.0,13.0
2,0,male,28.0,10.5
2,0,male,51.0,12.525
2,1,male,32.0,26.0
2,1,female,19.0,26.0
2,0,male,28.0,26.0
2,1,male,1.0,39.0
2,1,female,4.0,39.0
2,1,female,12.0,39.0
2,1,female,36.0,39.0
2,1,male,34.0,13.0
2,1,female,19.0,13.0
2,0,male,23.0,13.0
2,0,male,26.0,13.0
2,0,male,42.0,13.0
2,0,male,27.0,13.0
2,1,female,24.0,13.0
2,1,female,15.0,39.0
2,0,male,60.0,39.0
2,1,female,40.0,39.0
2,1,female,20.0,26.0
